iter	Passed	Remaining
0	0	63
1	1	59
2	1	55
3	2	51
4	2	50
5	3	49
6	3	48
7	4	47
8	4	47
9	5	46
10	5	45
11	6	45
12	6	45
13	7	44
14	7	44
15	8	43
16	8	43
17	9	42
18	9	42
19	10	41
20	10	40
21	11	39
22	11	39
23	12	38
24	12	37
25	13	37
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	32
33	16	32
34	17	31
35	17	31
36	18	30
37	18	30
38	18	29
39	19	29
40	19	28
41	19	27
42	20	27
43	20	26
44	21	25
45	21	25
46	22	24
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	45	5
89	45	5
90	46	4
91	47	4
92	47	3
93	48	3
94	49	2
95	49	2
96	50	1
97	50	1
98	51	0
99	51	0
